Simple XGBoost,Linear_regression,svr,rf,XGBoost_Forest,DNN,xgb_forest_dnn,actual
10.147444,-21.769860578133375,452.22482724177183,107.42070192381073,3.361424449376204,19.622821807861328,3.3582769199601303,2
191.01112,106.42056046960352,480.7814162349904,341.9446217115791,196.2779689698352,36.19948196411133,196.20147027742578,195
392.0849,217.29252657442703,500.56961386846683,382.7078372635336,396.48813383512817,234.6686553955078,396.4173843089573,403
553.7875,297.9895497829275,525.8532240399613,382.7078372635336,567.8552204199652,429.1365966796875,567.8061112980329,577
656.07245,333.744577005622,534.6930367204543,382.7078372635336,681.22253381923,593.5615844726562,681.2176989775135,692
683.11945,341.54108162998455,539.0378020495282,382.7078372635336,735.0093785921811,697.496826171875,735.0418535433374,739
662.5254,323.7242809117597,539.7458302300971,382.7078372635336,707.0762283862443,696.4530639648438,707.1114954583545,711
577.5078,283.54652670367796,538.1382507001509,382.7078372635336,619.1788382923689,598.3712768554688,619.2012897182461,613
436.1651,222.94292019870772,533.2943394711801,382.7078372635336,460.65827704662007,463.83447265625,460.6725267888097,454
236.35487,131.87110953872616,514.9746259133206,382.7078372635336,251.84363375653226,285.5894775390625,251.86620877373946,249
31.321245,8.424536000937223,489.0302065617274,382.7078372635336,28.459520248169266,91.7047119140625,28.482279170763245,29
12.397662,-13.2994557297352,438.0592719632325,107.42070192381073,4.060334639679777,17.542247772216797,4.056029786205907,4
196.08504,122.5848482203146,469.5612289540099,341.9446217115791,180.87436316128696,70.42301940917969,180.8118295924824,196
392.0033,240.4400952327269,496.0483960011723,382.7078372635336,404.70464028511435,268.2184753417969,404.64915891401836,406
551.1633,333.52091669183574,521.879068419689,382.7078372635336,571.014241528429,452.13720703125,570.9761878775255,581
646.5685,369.11455954940175,530.5317332846363,382.7078372635336,674.0888705935542,602.0015869140625,674.0904563252044,677
680.477,381.0894769629085,535.1023570939184,382.7078372635336,727.8315684289182,706.0132446289062,727.8692869032194,722
660.24713,368.871059011115,536.6359838720634,382.7078372635336,711.4348791546313,679.9104614257812,711.4641084623045,717
576.49634,331.22792001854395,534.3359264113991,382.7078372635336,610.7559272432579,585.4900512695312,610.7732625631278,619
434.44867,266.78073985807714,528.4805184649156,382.7078372635336,457.7664599448862,456.5155029296875,457.7774208254759,459
218.3947,163.02499033788627,505.60482988084345,382.7078372635336,258.6803417065086,285.48565673828125,258.7067331158055,252
18.092808,33.003140495333355,480.2227707666514,382.7078372635336,29.578312179076434,75.56494140625,29.595984257322797,32
12.034812,-70.68692373111844,438.2451571741707,107.42070192381073,3.1653236215949185,22.454448699951172,3.163201535618217,2
194.40988,55.126901434050524,464.64559026290556,341.9446217115791,195.29175909111314,29.448318481445312,195.21036854596528,197
400.26923,182.6254299423017,490.62060820747854,382.7078372635336,390.98993261868185,235.41567993164062,390.9167795945461,408
554.63727,267.8552847405372,517.6791326218996,382.7078372635336,560.257313696344,422.02960205078125,560.2056203478919,565
650.1473,306.2614079765917,525.3125741955873,382.7078372635336,673.8097431022591,579.9677734375,673.8004634103058,677
672.9932,319.3212252098165,529.5034657155153,382.7078372635336,723.1791025767923,683.9052124023438,723.2148145924047,724
652.3992,308.71686480983044,530.9833542934766,382.7078372635336,700.1675881846911,687.7160034179688,700.2058064627296,699
573.3596,273.4569968661817,529.1410112271241,382.7078372635336,604.7611814533309,594.1113891601562,604.7855517436557,605
433.2626,209.63904127180285,522.3166683398882,382.7078372635336,461.60353046156274,458.53778076171875,461.61620970707855,465
232.87292,109.97477118464303,504.2348997090015,382.7078372635336,256.79291640009603,286.86767578125,256.8172439890882,256
24.484247,-26.229482482303865,475.02911836140754,382.7078372635336,36.135295942406,74.6021957397461,36.15177329720048,34
-4.618573,-178.4890586710244,415.39235606447903,107.42070192381073,3.4499286820137285,52.6651496887207,3.464371929121664,2
208.05043,-32.96334766846849,444.8087412132423,176.7015848850841,194.91987228065395,110.64418029785156,194.87382280461594,192
403.88492,117.63841815627529,481.850207571222,382.7078372635336,393.94343970594025,199.8185577392578,393.85159726636493,397
556.2249,208.45292013564904,504.8479304708726,382.7078372635336,557.1656837234923,418.5250244140625,557.1117090656602,565
645.16736,264.6875307705923,515.0872542757444,382.7078372635336,660.1097277419951,572.3287353515625,660.0995866012714,678
672.9932,298.1549539428088,522.304066315612,382.7078372635336,723.0826701924477,672.0509643554688,723.1127215000197,723
654.0862,303.8063892084465,523.3586090864269,382.7078372635336,700.2387886279319,676.6851196289062,700.273696214998,701
572.1381,279.4238705919415,522.7837977444349,382.7078372635336,611.7863183223863,584.7990112304688,611.8060787900599,608
434.31216,221.27773855158011,516.2888988699888,382.7078372635336,463.91827788737055,448.6930847167969,463.9270829291732,469
217.71854,115.34996681945631,495.27499270301274,382.7078372635336,262.4803788961478,283.99407958984375,262.5067114017434,260
20.011265,-26.997033495805226,466.58235460517534,382.7078372635336,37.53852096070426,65.2007064819336,37.55109596547198,37
7.5012684,-166.966923851709,410.6563445389596,107.42070192381073,2.819283450901816,45.74489974975586,2.8290283362311768,2
209.18896,-14.570194194791839,443.14485296407145,341.9446217115791,195.31712944016908,75.94857788085938,195.255558859403,195
406.26163,135.54545346295345,478.6803806393527,382.7078372635336,405.5489142119853,214.5353240966797,405.46339537836275,407
556.1895,233.42881392897107,503.4492585720573,382.7078372635336,556.4151291706753,432.0914306640625,556.3675009994785,562
647.332,288.33659664241713,514.8368708479779,382.7078372635336,672.5304780239514,578.3126220703125,672.5222099313771,679
674.96893,317.648230099323,523.9654621642311,382.7078372635336,724.4238949616315,679.4722290039062,724.4568009656437,725
654.3749,320.3365103651595,527.4233988984557,382.7078372635336,710.164142580207,686.0785522460938,710.2013507027283,703
572.8494,292.06493728062196,527.32290635856,382.7078372635336,627.5199272529112,592.2035522460938,627.5409542723646,630
436.40842,233.35666891239816,521.4505448142597,382.7078372635336,458.6747266829832,455.7557373046875,458.6852051058588,470
229.44035,123.86571308440762,499.14059503034076,382.7078372635336,256.30284982145037,283.73590087890625,256.32589186416595,255
23.173853,-26.790003040252486,469.28224671039015,382.7078372635336,34.44979348943941,65.9259262084961,34.462014681558315,34
11.156219,-102.02177856904746,411.85095680522556,107.42070192381073,1.3888242172523169,13.32387924194336,1.3829879125105673,2
209.76607,46.24367130649625,446.28678369565336,250.0373308775487,184.11891060136176,29.69359588623047,184.03595213955273,186
408.0973,180.05285066149372,476.1165779486074,382.7078372635336,394.92784164681933,236.7572021484375,394.8520614559949,393
557.0151,284.94274731056066,504.2084804838739,382.7078372635336,558.3387173539486,442.9677734375,558.2961470968064,566
649.03204,334.0039054982044,519.1604560357358,382.7078372635336,672.3639278971787,584.0932006835938,672.3568637058147,680
675.21857,351.02657086633553,525.3226862510583,382.7078372635336,723.7177614926513,688.0300903320312,723.7505862237913,729
654.8198,340.27916801170795,527.7994926084758,382.7078372635336,699.2874486471155,698.5480346679688,699.3262809470034,706
573.808,309.7394420398632,526.5547701219746,382.7078372635336,611.7572159303068,599.9158325195312,611.7793940068049,632
436.2425,254.88794230652275,519.4046372478454,382.7078372635336,468.6164383908587,461.92327880859375,468.62961337510836,472
222.52863,157.0822610976902,496.817590323814,382.7078372635336,260.29133129627536,287.98443603515625,260.3183435592146,259
12.758292,21.62230829721375,468.50606318676256,382.7078372635336,37.14843036565848,55.63274383544922,37.156417115319314,43
8.04387,-7.957146418048069,415.3095345954332,107.42070192381073,2.685861992371107,9.776859283447266,2.6794479684027226,2
194.09035,164.27417934170808,467.38785305274513,341.9446217115791,193.20940322578085,116.33181762695312,193.16822418534412,191
403.10843,263.6652912751306,488.5004321486091,382.7078372635336,402.20293443215456,291.85675048828125,402.15282261445566,400
552.35394,378.5428786017437,518.6810035050885,382.7078372635336,574.57443825671,459.0000915527344,574.538801277413,576
648.1617,430.20555002581386,530.7663214149952,382.7078372635336,687.277539663459,614.1285400390625,687.2782161076037,694
682.98456,452.5756895670638,535.8479206714228,382.7078372635336,744.9953002636528,710.2449340820312,745.0336331864733,742
660.8973,454.8156180437072,537.8614021276751,382.7078372635336,711.5393778199693,689.2676391601562,711.5716019770524,718
570.4255,435.4048859072791,536.535703768902,382.7078372635336,611.8739418253504,584.2387084960938,611.885225842216,622
428.32455,388.1921557177993,529.9347117320684,382.7078372635336,458.91322407761606,465.362548828125,458.9270898897935,466
206.51022,287.3075435827923,507.682986204028,382.7078372635336,267.78206528386494,280.16168212890625,267.80829519450396,266
15.751108,159.3422955765709,476.61614865631844,382.7078372635336,45.97877493433952,88.62200164794922,46.00286700095838,46
10.987545,30.959319959714776,431.5719052696205,107.42070192381073,2.7961549782593513,17.535297393798828,2.791778046840974,2
196.25574,172.11862878488319,467.15834091135343,360.0840913672175,186.88899644638744,104.85125732421875,186.84223623809146,186
406.71182,285.15112479245,488.25142697200056,382.7078372635336,376.58580745016155,299.81329345703125,376.53916362486984,394
556.1439,385.42562519037165,516.5652125617908,382.7078372635336,566.4167100911855,457.58447265625,566.376777718752,569
656.7525,423.2598747981683,528.3909230287628,382.7078372635336,689.6350287246341,610.14208984375,689.6310601505271,688
693.8058,438.3102045882988,536.2417354043254,382.7078372635336,739.2224955158465,711.8626098632812,739.2588901042461,739
678.2491,432.4528986290534,540.7081350172906,382.7078372635336,701.8306903899309,695.358642578125,701.8559945008334,716
577.00586,401.28528841989464,541.8249475987817,382.7078372635336,611.8109825344745,600.6801147460938,611.8292627691299,623
446.93365,342.66560906814993,537.6802219797785,382.7078372635336,479.1899739404683,466.252197265625,479.19885026747494,468
235.18675,241.7453702239436,510.2504072726782,382.7078372635336,273.7651274458265,273.50823974609375,273.7806464320608,269
22.727766,103.75294794385263,491.40034064833,382.7078372635336,45.653790478753166,98.759521484375,45.68191362184042,43
12.020086,-48.722851264174096,437.50288787483265,107.42070192381073,3.0195326111689433,21.06478500366211,3.016828625676697,2
196.11554,86.55451280807029,467.85202090704433,341.9446217115791,175.0040671722849,31.46096420288086,174.92396993505176,193
393.90274,210.6481151866028,493.5293634518429,382.7078372635336,404.4017342744464,242.99636840820312,404.3332107939127,407
554.29767,291.347750656525,523.0931169124427,382.7078372635336,554.2635866091191,426.481689453125,554.2132101277335,585
658.9677,329.2424460440816,540.5121483832371,382.7078372635336,669.1958741126364,589.2538452148438,669.1854508041889,684
688.6557,337.1063747491571,547.0398254859256,382.7078372635336,733.7786896953914,693.3644409179688,733.8083573674105,734
670.65295,320.426655706513,549.1224480336431,382.7078372635336,715.2754548547243,696.8152465820312,715.3092172059252,713
589.0466,279.2786797887384,548.0400034118948,382.7078372635336,633.7645820568014,611.4830932617188,633.7867314891264,638
441.04108,213.1033721681888,543.1044585341026,382.7078372635336,441.4519168818683,473.25787353515625,441.46715948324345,481
242.12703,117.46528919048433,527.8544191405751,382.7078372635336,270.42641893688074,283.56060791015625,270.4460226466033,271
39.08677,-13.413606369111221,502.3322539463773,382.7078372635336,45.452684145403765,158.40553283691406,45.50143253080242,45
6.70465,-79.30058614278096,469.83777136276666,107.42070192381073,1.368871394206099,22.703060150146484,1.3694549315653597,1
